Instance_number,'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
1072,19647,520,2256,562,0.800568,0.974215,0.897,0.974215,0.103,0.934015,0.952926,1.022341,0.000019
1073,19646,521,2256,562,0.800568,0.974166,0.896996,0.974166,0.103004,0.933989,0.952882,1.022336,0.00002
1074,19645,522,2256,562,0.800568,0.974116,0.896991,0.974116,0.103009,0.933964,0.952839,1.02233,0.000021
1075,19644,523,2256,562,0.800568,0.974067,0.896986,0.974067,0.103014,0.933939,0.952795,1.022325,0.000021
1076,19644,523,2255,563,0.800213,0.974067,0.897027,0.974067,0.102973,0.933961,0.952752,1.022372,0.000021
1077,19643,524,2255,563,0.800213,0.974017,0.897023,0.974017,0.102977,0.933936,0.952708,1.022366,0.000021
1078,19642,525,2255,563,0.800213,0.973967,0.897018,0.973967,0.102982,0.93391,0.952665,1.022361,0.000022
1079,19641,526,2255,563,0.800213,0.973918,0.897013,0.973918,0.102987,0.933885,0.952621,1.022356,0.000022
1080,19641,526,2254,564,0.799858,0.973918,0.897054,0.973918,0.102946,0.933907,0.952578,1.022402,0.000022
1081,19641,526,2253,565,0.799503,0.973918,0.897095,0.973918,0.102905,0.933929,0.952534,1.022449,0.000023
1082,19640,527,2253,565,0.799503,0.973868,0.89709,0.973868,0.10291,0.933904,0.952491,1.022444,0.000023
1083,19639,528,2253,565,0.799503,0.973819,0.897086,0.973819,0.102914,0.933879,0.952447,1.022438,0.000024
1084,19638,529,2253,565,0.799503,0.973769,0.897081,0.973769,0.102919,0.933853,0.952404,1.022433,0.000024
1085,19637,530,2253,565,0.799503,0.973719,0.897076,0.973719,0.102924,0.933828,0.95236,1.022428,0.000026
1086,19636,531,2253,565,0.799503,0.97367,0.897072,0.97367,0.102928,0.933803,0.952317,1.022422,0.000026
1087,19635,532,2253,565,0.799503,0.97362,0.897067,0.97362,0.102933,0.933777,0.952273,1.022417,0.000026
1088,19634,533,2253,565,0.799503,0.973571,0.897062,0.973571,0.102938,0.933752,0.95223,1.022412,0.000028
1089,19633,534,2253,565,0.799503,0.973521,0.897057,0.973521,0.102943,0.933726,0.952186,1.022406,0.000028
1090,19633,534,2252,566,0.799148,0.973521,0.897098,0.973521,0.102902,0.933749,0.952143,1.022453,0.000028
1091,19632,535,2252,566,0.799148,0.973472,0.897094,0.973472,0.102906,0.933723,0.952099,1.022448,0.000029
1092,19632,535,2251,567,0.798793,0.973472,0.897135,0.973472,0.102865,0.933746,0.952056,1.022494,0.000029
1093,19631,536,2251,567,0.798793,0.973422,0.89713,0.973422,0.10287,0.93372,0.952012,1.022489,0.000031
1094,19630,537,2251,567,0.798793,0.973372,0.897125,0.973372,0.102875,0.933695,0.951969,1.022484,0.000031
1095,19629,538,2251,567,0.798793,0.973323,0.897121,0.973323,0.102879,0.933669,0.951925,1.022478,0.000031
1096,19628,539,2251,567,0.798793,0.973273,0.897116,0.973273,0.102884,0.933644,0.951882,1.022473,0.000032
1097,19627,540,2251,567,0.798793,0.973224,0.897111,0.973224,0.102889,0.933619,0.951838,1.022468,0.000032
1098,19627,540,2250,568,0.798439,0.973224,0.897152,0.973224,0.102848,0.933641,0.951795,1.022514,0.000032
1099,19626,541,2250,568,0.798439,0.973174,0.897148,0.973174,0.102852,0.933616,0.951751,1.022509,0.000033
1100,19625,542,2250,568,0.798439,0.973124,0.897143,0.973124,0.102857,0.93359,0.951708,1.022504,0.000033
1101,19625,542,2249,569,0.798084,0.973124,0.897184,0.973124,0.102816,0.933612,0.951664,1.02255,0.000033
1102,19625,542,2248,570,0.797729,0.973124,0.897225,0.973124,0.102775,0.933635,0.951621,1.022597,0.000034
1103,19625,542,2247,571,0.797374,0.973124,0.897266,0.973124,0.102734,0.933657,0.951577,1.022644,0.000035
1104,19625,542,2246,572,0.797019,0.973124,0.897307,0.973124,0.102693,0.933679,0.951534,1.022691,0.000036
1105,19624,543,2246,572,0.797019,0.973075,0.897302,0.973075,0.102698,0.933654,0.95149,1.022685,0.000037
1106,19624,543,2245,573,0.796664,0.973075,0.897343,0.973075,0.102657,0.933676,0.951447,1.022732,0.000038
1107,19624,543,2244,574,0.796309,0.973075,0.897384,0.973075,0.102616,0.933698,0.951403,1.022779,0.000039
1108,19623,544,2244,574,0.796309,0.973025,0.89738,0.973025,0.10262,0.933673,0.95136,1.022773,0.000039
1109,19622,545,2244,574,0.796309,0.972976,0.897375,0.972976,0.102625,0.933647,0.951316,1.022768,0.00004
1110,19621,546,2244,574,0.796309,0.972926,0.89737,0.972926,0.10263,0.933622,0.951273,1.022763,0.00004
1111,19620,547,2244,574,0.796309,0.972876,0.897366,0.972876,0.102634,0.933597,0.951229,1.022757,0.00004
1112,19619,548,2244,574,0.796309,0.972827,0.897361,0.972827,0.102639,0.933571,0.951186,1.022752,0.000041
1113,19618,549,2244,574,0.796309,0.972777,0.897356,0.972777,0.102644,0.933546,0.951142,1.022747,0.000041
1114,19617,550,2244,574,0.796309,0.972728,0.897351,0.972728,0.102649,0.933521,0.951099,1.022741,0.000041
1115,19616,551,2244,574,0.796309,0.972678,0.897347,0.972678,0.102653,0.933495,0.951055,1.022736,0.000042
1116,19615,552,2244,574,0.796309,0.972629,0.897342,0.972629,0.102658,0.93347,0.951012,1.022731,0.000043
1117,19614,553,2244,574,0.796309,0.972579,0.897337,0.972579,0.102663,0.933444,0.950968,1.022725,0.000045
1118,19611,556,2244,574,0.796309,0.97243,0.897323,0.97243,0.102677,0.933368,0.950838,1.022709,0.000045
1119,19611,556,2243,575,0.795955,0.97243,0.897364,0.97243,0.102636,0.93339,0.950794,1.022756,0.000048
1120,19610,557,2243,575,0.795955,0.972381,0.89736,0.972381,0.10264,0.933365,0.95075,1.022751,0.00005
1121,19609,558,2243,575,0.795955,0.972331,0.897355,0.972331,0.102645,0.93334,0.950707,1.022745,0.00005
1122,19608,559,2243,575,0.795955,0.972281,0.89735,0.972281,0.10265,0.933314,0.950663,1.02274,0.000051
1123,19608,559,2242,576,0.7956,0.972281,0.897391,0.972281,0.102609,0.933337,0.95062,1.022787,0.000052
1124,19607,560,2242,576,0.7956,0.972232,0.897387,0.972232,0.102613,0.933311,0.950576,1.022781,0.000052
1125,19606,561,2242,576,0.7956,0.972182,0.897382,0.972182,0.102618,0.933286,0.950533,1.022776,0.000054
1126,19605,562,2242,576,0.7956,0.972133,0.897377,0.972133,0.102623,0.93326,0.950489,1.022771,0.000056
1127,19604,563,2242,576,0.7956,0.972083,0.897373,0.972083,0.102627,0.933235,0.950446,1.022765,0.000057
1128,19603,564,2242,576,0.7956,0.972034,0.897368,0.972034,0.102632,0.93321,0.950402,1.02276,0.000058
1129,19602,565,2242,576,0.7956,0.971984,0.897363,0.971984,0.102637,0.933184,0.950359,1.022755,0.00006
1130,19602,565,2241,577,0.795245,0.971984,0.897404,0.971984,0.102596,0.933206,0.950315,1.022801,0.00006
1131,19601,566,2241,577,0.795245,0.971934,0.8974,0.971934,0.1026,0.933181,0.950272,1.022796,0.000061
1132,19601,566,2240,578,0.79489,0.971934,0.897441,0.971934,0.102559,0.933203,0.950228,1.022843,0.000062
1133,19600,567,2240,578,0.79489,0.971885,0.897436,0.971885,0.102564,0.933178,0.950185,1.022838,0.000062
1134,19599,568,2240,578,0.79489,0.971835,0.897431,0.971835,0.102569,0.933152,0.950141,1.022832,0.000063
1135,19599,568,2239,579,0.794535,0.971835,0.897472,0.971835,0.102528,0.933175,0.950098,1.022879,0.000066
1136,19598,569,2239,579,0.794535,0.971786,0.897468,0.971786,0.102532,0.933149,0.950054,1.022874,0.000067
1137,19598,569,2238,580,0.79418,0.971786,0.897509,0.971786,0.102491,0.933171,0.950011,1.02292,0.000075
1138,19598,569,2237,581,0.793825,0.971786,0.89755,0.971786,0.10245,0.933194,0.949967,1.022967,0.000077
1139,19597,570,2237,581,0.793825,0.971736,0.897545,0.971736,0.102455,0.933168,0.949924,1.022962,0.000079
1140,19596,571,2237,581,0.793825,0.971686,0.89754,0.971686,0.10246,0.933143,0.94988,1.022957,0.000079
1141,19596,571,2236,582,0.793471,0.971686,0.897582,0.971686,0.102418,0.933165,0.949837,1.023003,0.00008
1142,19595,572,2236,582,0.793471,0.971637,0.897577,0.971637,0.102423,0.93314,0.949793,1.022998,0.000081
1143,19594,573,2236,582,0.793471,0.971587,0.897572,0.971587,0.102428,0.933114,0.94975,1.022993,0.000082
1144,19593,574,2236,582,0.793471,0.971538,0.897567,0.971538,0.102433,0.933089,0.949706,1.022987,0.000088
1145,19592,575,2236,582,0.793471,0.971488,0.897563,0.971488,0.102437,0.933063,0.949663,1.022982,0.000089
1146,19592,575,2235,583,0.793116,0.971488,0.897604,0.971488,0.102396,0.933086,0.949619,1.023029,0.000089
1147,19591,576,2235,583,0.793116,0.971438,0.897599,0.971438,0.102401,0.93306,0.949576,1.023024,0.000089
1148,19590,577,2235,583,0.793116,0.971389,0.897595,0.971389,0.102405,0.933035,0.949532,1.023018,0.000093
1149,19589,578,2235,583,0.793116,0.971339,0.89759,0.971339,0.10241,0.933009,0.949489,1.023013,0.0001
1150,19588,579,2235,583,0.793116,0.97129,0.897585,0.97129,0.102415,0.932984,0.949445,1.023008,0.000101
1151,19587,580,2235,583,0.793116,0.97124,0.89758,0.97124,0.10242,0.932959,0.949402,1.023002,0.000102
1152,19587,580,2234,584,0.792761,0.97124,0.897622,0.97124,0.102378,0.932981,0.949358,1.023049,0.000102
1153,19587,580,2233,585,0.792406,0.97124,0.897663,0.97124,0.102337,0.933003,0.949315,1.023096,0.000104
1154,19586,581,2233,585,0.792406,0.971191,0.897658,0.971191,0.102342,0.932978,0.949271,1.023091,0.000108
1155,19585,582,2233,585,0.792406,0.971141,0.897653,0.971141,0.102347,0.932952,0.949228,1.023085,0.000124
1156,19585,582,2232,586,0.792051,0.971141,0.897694,0.971141,0.102306,0.932974,0.949184,1.023132,0.000128
1157,19584,583,2232,586,0.792051,0.971091,0.89769,0.971091,0.10231,0.932949,0.949141,1.023127,0.000132
1158,19583,584,2232,586,0.792051,0.971042,0.897685,0.971042,0.102315,0.932924,0.949097,1.023122,0.000134
1159,19583,584,2231,587,0.791696,0.971042,0.897726,0.971042,0.102274,0.932946,0.949054,1.023168,0.000138
1160,19582,585,2231,587,0.791696,0.970992,0.897722,0.970992,0.102278,0.93292,0.94901,1.023163,0.000141
1161,19581,586,2231,587,0.791696,0.970943,0.897717,0.970943,0.102283,0.932895,0.948967,1.023158,0.000142
1162,19581,586,2230,588,0.791341,0.970943,0.897758,0.970943,0.102242,0.932917,0.948923,1.023205,0.000149
1163,19580,587,2230,588,0.791341,0.970893,0.897753,0.970893,0.102247,0.932892,0.94888,1.023199,0.000151
1164,19579,588,2230,588,0.791341,0.970843,0.897749,0.970843,0.102251,0.932866,0.948836,1.023194,0.000151
1165,19578,589,2230,588,0.791341,0.970794,0.897744,0.970794,0.102256,0.932841,0.948793,1.023189,0.000158
1166,19577,590,2230,588,0.791341,0.970744,0.897739,0.970744,0.102261,0.932816,0.948749,1.023183,0.000159
1167,19576,591,2230,588,0.791341,0.970695,0.897735,0.970695,0.102265,0.93279,0.948706,1.023178,0.000162
1168,19576,591,2229,589,0.790987,0.970695,0.897776,0.970695,0.102224,0.932812,0.948662,1.023225,0.000164
1169,19575,592,2229,589,0.790987,0.970645,0.897771,0.970645,0.102229,0.932787,0.948619,1.023219,0.000168
1170,19575,592,2228,590,0.790632,0.970645,0.897812,0.970645,0.102188,0.932809,0.948575,1.023266,0.000177
1171,19574,593,2228,590,0.790632,0.970596,0.897808,0.970596,0.102192,0.932784,0.948532,1.023261,0.000179
1172,19573,594,2228,590,0.790632,0.970546,0.897803,0.970546,0.102197,0.932758,0.948488,1.023256,0.000181
1173,19572,595,2228,590,0.790632,0.970496,0.897798,0.970496,0.102202,0.932733,0.948445,1.02325,0.000181
1174,19571,596,2228,590,0.790632,0.970447,0.897793,0.970447,0.102207,0.932707,0.948401,1.023245,0.000183
1175,19571,596,2227,591,0.790277,0.970447,0.897835,0.970447,0.102165,0.93273,0.948358,1.023292,0.000186
1176,19571,596,2226,592,0.789922,0.970447,0.897876,0.970447,0.102124,0.932752,0.948314,1.023339,0.000196
1177,19571,596,2225,593,0.789567,0.970447,0.897917,0.970447,0.102083,0.932774,0.948271,1.023386,0.000203
1178,19570,597,2225,593,0.789567,0.970397,0.897912,0.970397,0.102088,0.932749,0.948227,1.023381,0.000208
1179,19569,598,2225,593,0.789567,0.970348,0.897908,0.970348,0.102092,0.932723,0.948184,1.023375,0.000217
1180,19568,599,2225,593,0.789567,0.970298,0.897903,0.970298,0.102097,0.932698,0.94814,1.02337,0.000222
1181,19567,600,2225,593,0.789567,0.970248,0.897898,0.970248,0.102102,0.932672,0.948097,1.023365,0.000222
1182,19566,601,2225,593,0.789567,0.970199,0.897894,0.970199,0.102106,0.932647,0.948053,1.023359,0.000227
1183,19566,601,2224,594,0.789212,0.970199,0.897935,0.970199,0.102065,0.932669,0.94801,1.023406,0.000231
1184,19565,602,2224,594,0.789212,0.970149,0.89793,0.970149,0.10207,0.932644,0.947966,1.023401,0.000241
1185,19564,603,2224,594,0.789212,0.9701,0.897925,0.9701,0.102075,0.932618,0.947923,1.023395,0.000241
1186,19563,604,2224,594,0.789212,0.97005,0.897921,0.97005,0.102079,0.932593,0.947879,1.02339,0.000245
1187,19562,605,2224,594,0.789212,0.97,0.897916,0.97,0.102084,0.932567,0.947836,1.023385,0.000249
1188,19561,606,2224,594,0.789212,0.969951,0.897911,0.969951,0.102089,0.932542,0.947792,1.023379,0.000253
1189,19560,607,2224,594,0.789212,0.969901,0.897907,0.969901,0.102093,0.932517,0.947749,1.023374,0.00026
1190,19558,609,2224,594,0.789212,0.969802,0.897897,0.969802,0.102103,0.932466,0.947662,1.023363,0.000276
1191,19558,609,2223,595,0.788857,0.969802,0.897939,0.969802,0.102061,0.932488,0.947618,1.02341,0.000277
1192,19557,610,2223,595,0.788857,0.969753,0.897934,0.969753,0.102066,0.932462,0.947575,1.023405,0.000279
1193,19556,611,2223,595,0.788857,0.969703,0.897929,0.969703,0.102071,0.932437,0.947531,1.0234,0.000284
1194,19555,612,2223,595,0.788857,0.969653,0.897925,0.969653,0.102075,0.932411,0.947487,1.023394,0.000284
1195,19554,613,2223,595,0.788857,0.969604,0.89792,0.969604,0.10208,0.932386,0.947444,1.023389,0.000288
1196,19553,614,2223,595,0.788857,0.969554,0.897915,0.969554,0.102085,0.932361,0.9474,1.023384,0.000303
1197,19552,615,2223,595,0.788857,0.969505,0.89791,0.969505,0.10209,0.932335,0.947357,1.023378,0.000308
1198,19551,616,2223,595,0.788857,0.969455,0.897906,0.969455,0.102094,0.93231,0.947313,1.023373,0.000312
1199,19550,617,2223,595,0.788857,0.969405,0.897901,0.969405,0.102099,0.932284,0.94727,1.023368,0.000325
1200,19550,617,2222,596,0.788502,0.969405,0.897942,0.969405,0.102058,0.932306,0.947226,1.023415,0.000334
1201,19549,618,2222,596,0.788502,0.969356,0.897938,0.969356,0.102062,0.932281,0.947183,1.023409,0.00035
1202,19548,619,2222,596,0.788502,0.969306,0.897933,0.969306,0.102067,0.932256,0.947139,1.023404,0.000351
1203,19547,620,2222,596,0.788502,0.969257,0.897928,0.969257,0.102072,0.93223,0.947096,1.023399,0.00036
1204,19546,621,2222,596,0.788502,0.969207,0.897924,0.969207,0.102076,0.932205,0.947052,1.023393,0.000377
1205,19546,621,2221,597,0.788148,0.969207,0.897965,0.969207,0.102035,0.932227,0.947009,1.02344,0.000402
1206,19545,622,2221,597,0.788148,0.969158,0.89796,0.969158,0.10204,0.932201,0.946965,1.023435,0.000414
1207,19544,623,2221,597,0.788148,0.969108,0.897955,0.969108,0.102045,0.932176,0.946922,1.02343,0.000434
1208,19544,623,2220,598,0.787793,0.969108,0.897997,0.969108,0.102003,0.932198,0.946878,1.023477,0.000439
1209,19543,624,2220,598,0.787793,0.969058,0.897992,0.969058,0.102008,0.932173,0.946835,1.023471,0.00045
1210,19542,625,2220,598,0.787793,0.969009,0.897987,0.969009,0.102013,0.932147,0.946791,1.023466,0.000469
1211,19541,626,2220,598,0.787793,0.968959,0.897983,0.968959,0.102017,0.932122,0.946748,1.023461,0.000481
1212,19541,626,2219,599,0.787438,0.968959,0.898024,0.968959,0.101976,0.932144,0.946704,1.023508,0.000496
1213,19541,626,2218,600,0.787083,0.968959,0.898065,0.968959,0.101935,0.932166,0.946661,1.023555,0.000511
1214,19541,626,2217,601,0.786728,0.968959,0.898106,0.968959,0.101894,0.932188,0.946617,1.023602,0.000545
1215,19540,627,2217,601,0.786728,0.96891,0.898102,0.96891,0.101898,0.932163,0.946574,1.023596,0.000547
1216,19539,628,2217,601,0.786728,0.96886,0.898097,0.96886,0.101903,0.932137,0.94653,1.023591,0.000554
1217,19538,629,2217,601,0.786728,0.96881,0.898092,0.96881,0.101908,0.932112,0.946487,1.023586,0.000558
1218,19537,630,2217,601,0.786728,0.968761,0.898088,0.968761,0.101912,0.932087,0.946443,1.02358,0.000594
1219,19536,631,2217,601,0.786728,0.968711,0.898083,0.968711,0.101917,0.932061,0.9464,1.023575,0.000597
1220,19535,632,2217,601,0.786728,0.968662,0.898078,0.968662,0.101922,0.932036,0.946356,1.02357,0.000611
1221,19535,632,2216,602,0.786373,0.968662,0.89812,0.968662,0.10188,0.932058,0.946313,1.023617,0.00065
1222,19535,632,2215,603,0.786018,0.968662,0.898161,0.968662,0.101839,0.93208,0.946269,1.023664,0.000658
1223,19535,632,2214,604,0.785664,0.968662,0.898202,0.968662,0.101798,0.932102,0.946226,1.023711,0.000659
1224,19534,633,2214,604,0.785664,0.968612,0.898198,0.968612,0.101802,0.932077,0.946182,1.023706,0.000659
1225,19533,634,2214,604,0.785664,0.968563,0.898193,0.968563,0.101807,0.932051,0.946139,1.0237,0.000686
1226,19533,634,2213,605,0.785309,0.968563,0.898234,0.968563,0.101766,0.932074,0.946095,1.023747,0.000694
1227,19532,635,2213,605,0.785309,0.968513,0.898229,0.968513,0.101771,0.932048,0.946052,1.023742,0.000695
1228,19532,635,2212,606,0.784954,0.968513,0.898271,0.968513,0.101729,0.93207,0.946008,1.023789,0.000711
1229,19532,635,2211,607,0.784599,0.968513,0.898312,0.968513,0.101688,0.932093,0.945965,1.023836,0.000712
1230,19532,635,2210,608,0.784244,0.968513,0.898353,0.968513,0.101647,0.932115,0.945921,1.023883,0.00073
1231,19531,636,2210,608,0.784244,0.968463,0.898349,0.968463,0.101651,0.932089,0.945878,1.023878,0.000734
1232,19530,637,2210,608,0.784244,0.968414,0.898344,0.968414,0.101656,0.932064,0.945834,1.023873,0.000737
1233,19529,638,2210,608,0.784244,0.968364,0.898339,0.968364,0.101661,0.932038,0.945791,1.023867,0.000756
1234,19528,639,2210,608,0.784244,0.968315,0.898335,0.968315,0.101665,0.932013,0.945747,1.023862,0.000767
1235,19528,639,2209,609,0.783889,0.968315,0.898376,0.968315,0.101624,0.932035,0.945704,1.023909,0.000788
1236,19527,640,2209,609,0.783889,0.968265,0.898371,0.968265,0.101629,0.93201,0.94566,1.023904,0.000811
1237,19526,641,2209,609,0.783889,0.968215,0.898367,0.968215,0.101633,0.931984,0.945617,1.023898,0.000813
1238,19526,641,2208,610,0.783534,0.968215,0.898408,0.968215,0.101592,0.932006,0.945573,1.023945,0.000842
1239,19525,642,2208,610,0.783534,0.968166,0.898403,0.968166,0.101597,0.931981,0.94553,1.02394,0.000855
1240,19524,643,2208,610,0.783534,0.968116,0.898399,0.968116,0.101601,0.931955,0.945486,1.023935,0.000876
1241,19523,644,2208,610,0.783534,0.968067,0.898394,0.968067,0.101606,0.93193,0.945443,1.023929,0.000895
1242,19523,644,2207,611,0.78318,0.968067,0.898435,0.968067,0.101565,0.931952,0.945399,1.023977,0.0009
1243,19522,645,2207,611,0.78318,0.968017,0.898431,0.968017,0.101569,0.931927,0.945356,1.023971,0.000918
1244,19521,646,2207,611,0.78318,0.967967,0.898426,0.967967,0.101574,0.931901,0.945312,1.023966,0.000918
1245,19520,647,2207,611,0.78318,0.967918,0.898421,0.967918,0.101579,0.931876,0.945269,1.023961,0.000926
1246,19520,647,2206,612,0.782825,0.967918,0.898463,0.967918,0.101537,0.931898,0.945225,1.024008,0.000963
1247,19519,648,2206,612,0.782825,0.967868,0.898458,0.967868,0.101542,0.931872,0.945182,1.024002,0.000993
1248,19518,649,2206,612,0.782825,0.967819,0.898453,0.967819,0.101547,0.931847,0.945138,1.023997,0.000994
1249,19517,650,2206,612,0.782825,0.967769,0.898449,0.967769,0.101551,0.931821,0.945095,1.023992,0.001009
1250,19517,650,2205,613,0.78247,0.967769,0.89849,0.967769,0.10151,0.931844,0.945051,1.024039,0.001069
1251,19516,651,2205,613,0.78247,0.96772,0.898485,0.96772,0.101515,0.931818,0.945008,1.024034,0.001078
1252,19515,652,2205,613,0.78247,0.96767,0.898481,0.96767,0.101519,0.931793,0.944964,1.024028,0.001087
1253,19515,652,2204,614,0.782115,0.96767,0.898522,0.96767,0.101478,0.931815,0.944921,1.024075,0.0011
1254,19514,653,2204,614,0.782115,0.96762,0.898517,0.96762,0.101483,0.931789,0.944877,1.02407,0.001198
1255,19514,653,2203,615,0.78176,0.96762,0.898559,0.96762,0.101441,0.931812,0.944834,1.024117,0.001217
1256,19513,654,2203,615,0.78176,0.967571,0.898554,0.967571,0.101446,0.931786,0.94479,1.024112,0.001221
1257,19513,654,2202,616,0.781405,0.967571,0.898595,0.967571,0.101405,0.931808,0.944747,1.024159,0.001236
1258,19513,654,2201,617,0.78105,0.967571,0.898637,0.967571,0.101363,0.931831,0.944703,1.024206,0.001255
1259,19512,655,2201,617,0.78105,0.967521,0.898632,0.967521,0.101368,0.931805,0.94466,1.024201,0.001282
1260,19511,656,2201,617,0.78105,0.967472,0.898627,0.967472,0.101373,0.93178,0.944616,1.024196,0.001283
1261,19510,657,2201,617,0.78105,0.967422,0.898623,0.967422,0.101377,0.931754,0.944573,1.02419,0.00129
1262,19510,657,2200,618,0.780696,0.967422,0.898664,0.967422,0.101336,0.931776,0.944529,1.024237,0.001298
1263,19509,658,2200,618,0.780696,0.967372,0.89866,0.967372,0.10134,0.931751,0.944486,1.024232,0.001326
1264,19509,658,2199,619,0.780341,0.967372,0.898701,0.967372,0.101299,0.931773,0.944442,1.024279,0.001362
1265,19508,659,2199,619,0.780341,0.967323,0.898696,0.967323,0.101304,0.931748,0.944399,1.024274,0.001435
1266,19507,660,2199,619,0.780341,0.967273,0.898692,0.967273,0.101308,0.931722,0.944355,1.024269,0.00145
1267,19506,661,2199,619,0.780341,0.967224,0.898687,0.967224,0.101313,0.931697,0.944312,1.024263,0.001461
1268,19505,662,2199,619,0.780341,0.967174,0.898682,0.967174,0.101318,0.931671,0.944268,1.024258,0.001495
1269,19504,663,2199,619,0.780341,0.967125,0.898678,0.967125,0.101322,0.931646,0.944224,1.024253,0.001587
1270,19503,664,2199,619,0.780341,0.967075,0.898673,0.967075,0.101327,0.93162,0.944181,1.024247,0.001599
1271,19502,665,2199,619,0.780341,0.967025,0.898668,0.967025,0.101332,0.931595,0.944137,1.024242,0.001627
1272,19502,665,2198,620,0.779986,0.967025,0.89871,0.967025,0.10129,0.931617,0.944094,1.024289,0.001802
1273,19501,666,2198,620,0.779986,0.966976,0.898705,0.966976,0.101295,0.931591,0.94405,1.024284,0.001883
1274,19501,666,2197,621,0.779631,0.966976,0.898746,0.966976,0.101254,0.931614,0.944007,1.024331,0.001888
1275,19500,667,2197,621,0.779631,0.966926,0.898742,0.966926,0.101258,0.931588,0.943963,1.024326,0.001895
1276,19500,667,2196,622,0.779276,0.966926,0.898783,0.966926,0.101217,0.93161,0.94392,1.024373,0.001996
1277,19499,668,2196,622,0.779276,0.966877,0.898779,0.966877,0.101221,0.931585,0.943876,1.024368,0.002
1278,19498,669,2196,622,0.779276,0.966827,0.898774,0.966827,0.101226,0.931559,0.943833,1.024362,0.002297
1279,19498,669,2195,623,0.778921,0.966827,0.898815,0.966827,0.101185,0.931581,0.943789,1.02441,0.002464
1280,19497,670,2195,623,0.778921,0.966777,0.898811,0.966777,0.101189,0.931556,0.943746,1.024404,0.002523
1281,19496,671,2195,623,0.778921,0.966728,0.898806,0.966728,0.101194,0.93153,0.943702,1.024399,0.002545
1282,19496,671,2194,624,0.778566,0.966728,0.898847,0.966728,0.101153,0.931553,0.943659,1.024446,0.002565
1283,19495,672,2194,624,0.778566,0.966678,0.898843,0.966678,0.101157,0.931527,0.943615,1.024441,0.002567
1284,19495,672,2193,625,0.778211,0.966678,0.898884,0.966678,0.101116,0.931549,0.943572,1.024488,0.002594
1285,19494,673,2193,625,0.778211,0.966629,0.89888,0.966629,0.10112,0.931524,0.943528,1.024483,0.002647
1286,19493,674,2193,625,0.778211,0.966579,0.898875,0.966579,0.101125,0.931498,0.943485,1.024478,0.002671
1287,19492,675,2193,625,0.778211,0.966529,0.89887,0.966529,0.10113,0.931473,0.943441,1.024472,0.00274
1288,19491,676,2193,625,0.778211,0.96648,0.898866,0.96648,0.101134,0.931447,0.943398,1.024467,0.002762
1289,19490,677,2193,625,0.778211,0.96643,0.898861,0.96643,0.101139,0.931422,0.943354,1.024462,0.002808
1290,19489,678,2193,625,0.778211,0.966381,0.898856,0.966381,0.101144,0.931396,0.943311,1.024456,0.002861
1291,19489,678,2192,626,0.777857,0.966381,0.898898,0.966381,0.101102,0.931418,0.943267,1.024504,0.00293
1292,19488,679,2192,626,0.777857,0.966331,0.898893,0.966331,0.101107,0.931393,0.943224,1.024498,0.00293
1293,19488,679,2191,627,0.777502,0.966331,0.898934,0.966331,0.101066,0.931415,0.94318,1.024545,0.002939
1294,19488,679,2190,628,0.777147,0.966331,0.898976,0.966331,0.101024,0.931437,0.943137,1.024593,0.002947
1295,19487,680,2190,628,0.777147,0.966282,0.898971,0.966282,0.101029,0.931412,0.943093,1.024587,0.002995
1296,19486,681,2190,628,0.777147,0.966232,0.898967,0.966232,0.101033,0.931386,0.94305,1.024582,0.003046
1297,19486,681,2189,629,0.776792,0.966232,0.899008,0.966232,0.100992,0.931409,0.943006,1.024629,0.003085
1298,19486,681,2188,630,0.776437,0.966232,0.89905,0.966232,0.10095,0.931431,0.942963,1.024677,0.003172
1299,19485,682,2188,630,0.776437,0.966182,0.899045,0.966182,0.100955,0.931405,0.942919,1.024671,0.003241
1300,19484,683,2188,630,0.776437,0.966133,0.89904,0.966133,0.10096,0.93138,0.942876,1.024666,0.003246
1301,19483,684,2188,630,0.776437,0.966083,0.899036,0.966083,0.100964,0.931354,0.942832,1.024661,0.003449
1302,19482,685,2188,630,0.776437,0.966034,0.899031,0.966034,0.100969,0.931329,0.942789,1.024655,0.003472
1303,19482,685,2187,631,0.776082,0.966034,0.899072,0.966034,0.100928,0.931351,0.942745,1.024703,0.00369
1304,19481,686,2187,631,0.776082,0.965984,0.899068,0.965984,0.100932,0.931325,0.942702,1.024697,0.003717
1305,19480,687,2187,631,0.776082,0.965934,0.899063,0.965934,0.100937,0.9313,0.942658,1.024692,0.003813
1306,19479,688,2187,631,0.776082,0.965885,0.899058,0.965885,0.100942,0.931274,0.942615,1.024687,0.003944
1307,19479,688,2186,632,0.775727,0.965885,0.8991,0.965885,0.1009,0.931297,0.942571,1.024734,0.004421
1308,19478,689,2186,632,0.775727,0.965835,0.899095,0.965835,0.100905,0.931271,0.942528,1.024729,0.0045
1309,19477,690,2186,632,0.775727,0.965786,0.899091,0.965786,0.100909,0.931246,0.942484,1.024723,0.004517
1310,19477,690,2185,633,0.775373,0.965786,0.899132,0.965786,0.100868,0.931268,0.942441,1.024771,0.004546
1311,19477,690,2184,634,0.775018,0.965786,0.899174,0.965786,0.100826,0.93129,0.942397,1.024818,0.0046
